"id","name","description","parent","childrens"
"13295171-a8c7-4ba3-a3f4-3ee64b064f60","Tarea 2.3 Inferir el orden cronológico de acontecimientos","<p class=""MsoNormal""><span style=""font-family: 'Aptos Display',sans-serif; mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin;"">Entender y seguir el orden cronol&oacute;gico que se plantea en una historia es fundamental para entender lo que ocurre. Es importante poder ordenar los acontecimientos de una parte (o de toda la historia) siguiendo el orden cronol&oacute;gico de esta.</span></p>
<p class=""MsoNormal""><span style=""font-family: 'Aptos Display',sans-serif; mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin;"">&nbsp;</span></p>
<p class=""MsoNormal""><span style=""font-family: 'Aptos Display',sans-serif; mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin;"">Ejemplos: ordenar los acontecimientos que vive el personaje en una parte del libro.</span></p>","a5061293-aa59-4bea-8f9c-9c411aa3b37d","[]"
"1cc58ae6-7590-49c8-957a-4833637c1321","Tarea 2.2 Inferir las razones de los actos de un personaje o describir la relación entre personajes","<p class=""MsoNormal""><span style=""font-family: 'Aptos Display',sans-serif; mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin;"">Los personajes (y lo que hacen) son la parte fundamental en toda narraci&oacute;n, por tanto, es importante trabajar el reconocimiento y descripci&oacute;n de las acciones espec&iacute;ficas que los personajes realizan, entendiendo el contexto en el que se producen y los motivos que los llevan a tener el comportamiento sobre el que se pregunta. </span></p>
<p class=""MsoNormal""><span style=""font-family: 'Aptos Display',sans-serif; mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin;"">&nbsp;</span></p>
<p class=""MsoNormal""><span style=""font-family: 'Aptos Display',sans-serif; mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin;"">Ejemplos: identificar c&oacute;mo interact&uacute;an los personajes en una parte del texto o a lo largo de &eacute;l, el tipo de relaciones que mantienen, etc.</span></p>","a5061293-aa59-4bea-8f9c-9c411aa3b37d","[]"
"28c3f9e7-4de7-422a-b9eb-d45adaf8e79b","Tarea 4.1 Juzgar la verosimilitud y probabilidad de un hecho","<p class=""MsoNormal"">En esta tarea se debe valorar si el universo de ficci&oacute;n creado es coherente y si los hechos descritos son veros&iacute;miles y probables en ese mundo.</p>
<p class=""MsoNormal"">Ejemplos: pedir al lector que aporte una prueba de la aventura de un personaje para interpretar si la aventura ha sido real o un sue&ntilde;o. Discernir entre diferentes tipos de afirmaciones cu&aacute;les no pueden suceder en la realidad porque pertenecen al mundo de lo fant&aacute;stico.</p>","2a757964-5c0a-424d-97f7-f7201bfde25d","[]"
"2a757964-5c0a-424d-97f7-f7201bfde25d","PROCESO 4. ANALIZAR, EVALUAR Y REFLEXIONAR SOBRE EL CONTENIDO Y LOS ELEMENTOS TEXTUALES","<p class=""MsoNormal"">&nbsp;</p>
<p class=""MsoNormal"">Las tareas incluidas en este proceso requieren razonar m&aacute;s all&aacute; del significado literal o inferencial del texto. Por lo tanto, implican reflexionar sobre el contenido y la forma del texto y evaluar cr&iacute;ticamente la calidad y validez de la informaci&oacute;n.</p>
<p class=""MsoNormal"">Por ejemplo, el alumnado puede reflexionar sobre las elecciones del lenguaje que hace el autor o autora, los recursos que emplea para transmitir significados y juzgar su idoneidad.</p>",,"[{""name"":""Tarea 4.1 Juzgar la verosimilitud y probabilidad de un hecho""},{""name"":""Tarea 4.4. Juzgar si el título refleja adecuadamente el contenido del libro""},{""name"":""Tarea 4.3 Analizar y valorar el efecto de los elementos textuales y reflexionar sobre estos""},{""name"":""Tarea 4.2 Evaluar la probabilidad de que la argumentación de un libro pueda cambiar lo que la gente piensa o hace""}]"
"2c7dc021-44e3-4053-ad63-a77c39e49709","Tarea 2.1 Inferir la relación entre dos o más ideas","<p class=""MsoNormal""><span style=""font-family: 'Aptos Display',sans-serif; mso-ascii-theme-font: major-latin; mso-fareast-font-family: Aptos; mso-hansi-theme-font: major-latin;"">Para resolver esta tarea es necesario generar varios tipos de inferencias ya que la informaci&oacute;n que demanda la pregunta no est&aacute; expl&iacute;cita en una sola frase. Por ejemplo, ""Se levanta muy temprano"" podr&iacute;a ser tarea 1.1 si el sujeto apareciera en la misma frase (""La ni&ntilde;a ra&iacute;z se levanta muy temprano""), pero es tarea 2.1 porque el sujeto aparece al final del p&aacute;rrafo anterior y es necesario hacer una inferencia para recuperarlo. En esta tarea es necesario relacionar informaci&oacute;n que se encuentra separada en diferentes frases o fragmentos o hacer una inferencia para responder la pregunta. Es decir, la inferencia involucra varios fragmentos del texto en los que la referencia del enunciado aparece en una parte y la respuesta en otra, por lo tanto, es necesario hacer una inferencia y no solo recuperar informaci&oacute;n literal.</span></p>
<p class=""MsoNormal""><span style=""font-family: 'Aptos Display',sans-serif; mso-ascii-theme-font: major-latin; mso-fareast-font-family: Aptos; mso-hansi-theme-font: major-latin;"">&nbsp;</span></p>
<p class=""MsoNormal""><span style=""font-family: 'Aptos Display',sans-serif; mso-ascii-theme-font: major-latin; mso-fareast-font-family: Aptos; mso-hansi-theme-font: major-latin;"">Las inferencias que requieren este tipo de tarea pueden ser m&aacute;s simples, como las de conexi&oacute;n que se resuelven con la relaci&oacute;n a una an&aacute;fora, y otras m&aacute;s complejas, como inferencias espaciales, temporales, causales o marcadores discursivos. Esta tarea tambi&eacute;n puede hacer referencia a elementos gr&aacute;ficos; por ejemplo: identificar entre varias im&aacute;genes a qu&eacute; hace referencia una parte del texto.</span></p>
<p class=""MsoNormal""><span style=""font-family: 'Aptos Display',sans-serif; mso-ascii-theme-font: major-latin; mso-fareast-font-family: Aptos; mso-hansi-theme-font: major-latin;"">&nbsp;</span></p>
<p class=""MsoNormal""><span style=""font-family: 'Aptos Display',sans-serif; mso-ascii-theme-font: major-latin; mso-fareast-font-family: Aptos; mso-hansi-theme-font: major-latin;"">Ejemplos: relacionar informaci&oacute;n que se encuentra separada en diferentes frases o fragmentos; hacer una inferencia para responder la pregunta que involucra varios fragmentos del texto en los que la referencia del enunciado aparece en una parte y la respuesta en otra. En ambos casos es necesario hacer una inferencia y no solo recuperar informaci&oacute;n literal.</span></p>
<p class=""MsoNormal""><span style=""font-family: 'Aptos Display',sans-serif; mso-ascii-theme-font: major-latin; mso-fareast-font-family: Aptos; mso-hansi-theme-font: major-latin;"">&nbsp;</span></p>","a5061293-aa59-4bea-8f9c-9c411aa3b37d","[]"
"2e5f6264-8aed-4529-88b7-e98675d2ea5e","Tarea 4.4. Juzgar si el título refleja adecuadamente el contenido del libro","<p class=""MsoNormal"">Esta tarea requiere valorar si el t&iacute;tulo elegido por el autor refleja, desde el punto de vista del lector, los aspectos fundamentales del libro.</p>","2a757964-5c0a-424d-97f7-f7201bfde25d","[]"
"3a506e66-d39a-42d8-a554-7cebb5b67fcd","Tarea 4.3 Analizar y valorar el efecto de los elementos textuales y reflexionar sobre estos","<p class=""MsoNormal"">En esta tarea el alumnado debe centrarse en los elementos textuales y analizar y reflexionar sobre el efecto que tiene el contenido y la forma del texto para ayudar a comprender la perspectiva o prop&oacute;sito del autor.</p>
<p class=""MsoNormal"">&nbsp;</p>
<p class=""MsoNormal"">Ejemplos: preguntar por el uso de adjetivos calificativos en la descripci&oacute;n de un personaje para determinar la relaci&oacute;n afectiva del lector con el personaje; preguntar con qu&eacute; prop&oacute;sito el autor utiliza un recurso concreto, como un recuadro, un tipo de letra, etc.</p>","2a757964-5c0a-424d-97f7-f7201bfde25d","[]"
"3aa8de1c-6aa4-4c9b-b7d2-6b2727df2edd","Tarea 3.2 Interpretar o inferir las acciones de los personajes","<p class=""MsoNormal""><span style=""font-family: 'Aptos Display',sans-serif; mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin;"">Esta tarea requiere inferir acciones, emociones o intenciones a partir de descripciones textuales. </span></p>
<p class=""MsoNormal""><span style=""font-family: 'Aptos Display',sans-serif; mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin;"">&nbsp;</span></p>
<p class=""MsoNormal""><span style=""font-family: 'Aptos Display',sans-serif; mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin;"">Ejemplos: preguntar sobre por qu&eacute; un personaje no quiere realizar una tarea cuando el texto no incorpora informaci&oacute;n expl&iacute;cita, por tanto, tienen que inferir emociones e intenciones del personaje.</span></p>","afd130f2-3545-4289-9177-786685086376","[]"
"59a164f0-9950-40e6-874b-f269b571005d","Tarea 3.1 Integrar información para elaborar el tema general de una parte del texto","<p class=""MsoNormal""><span style=""font-family: 'Aptos Display',sans-serif; mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin;"">Esta tarea requiere elaborar macroideas que resumen partes del texto. </span></p>","afd130f2-3545-4289-9177-786685086376","[]"
"62b58a6c-9e50-403a-b02d-50a086b65bc4","Tarea 2.4 Deducir el significado de una palabra o expresión","<p class=""MsoNormal""><span style=""font-family: 'Aptos Display',sans-serif; mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin;"">Esta tarea requiere la deducci&oacute;n del significado de una palabra o expresi&oacute;n. Esta puede obtenerse directamente del texto a partir de la informaci&oacute;n que aporta este. Suelen aparecer en los libros de Primaria, porque es una tarea m&aacute;s sencilla, y est&aacute; relacionada con la tarea 3.7, que suele aparecer en niveles superiores. </span></p>
<p class=""MsoNormal""><span style=""font-family: 'Aptos Display',sans-serif; mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin;"">&nbsp;</span></p>
<p class=""MsoNormal""><span style=""font-family: 'Aptos Display',sans-serif; mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin;"">Ejemplos: relacionar las expresiones que aparecen en diferentes partes significativas del libro con sus significados correctos.</span></p>
<p class=""MsoNormal""><span style=""font-family: 'Aptos Display',sans-serif; mso-ascii-theme-font: major-latin; mso-hansi-theme-font: major-latin;"">&nbsp;</span></p>","a5061293-aa59-4bea-8f9c-9c411aa3b37d","[]"
